Text,KM,Ano,Valor
HONDA CIVIC 2.0 16V FLEXONE EXL 4P CVT,KM 55528,2019/2020,"R$ 131.900,00"
VOLKSWAGEN POLO 1.0 200 TSI SENSE AUTOMÁTICO,KM 17904,2019/2020,"R$ 89.900,00"
VOLKSWAGEN UP 1.0 TSI PEPPER 12V FLEX 4P MANUAL,KM 80065,2018/2019,"R$ 77.900,00"
PEUGEOT 2008 1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO,KM 17000,2021/2022,"R$ 84.900,00"
AUDI Q3 1.4 TFSI AMBITION FLEX 4P S TRONIC,KM 52869,2018/2018,"R$ 139.900,00"
CHEVROLET CLASSIC 1.0 MPFI LS 8V FLEX 4P MANUAL,KM 70000,2013/2014,"R$ 29.900,00"
FIAT TORO 1.8 16V EVO FLEX FREEDOM AT6,KM 56287,2018/2019,"R$ 105.900,00"
VOLKSWAGEN T-CROSS 1.0 200 TSI TOTAL FLEX AUTOMÁTICO,KM 25113,2021/2021,"R$ 105.900,00"
VOLKSWAGEN VIRTUS 1.0 200 TSI HIGHLINE AUTOMÁTICO,KM 31632,2019/2020,"R$ 99.900,00"
PEUGEOT 308 1.6 GRIFFE THP 16V FLEX 4P AUTOMÁTICO,KM 86575,2016/2016,"R$ 64.900,00"
FIAT MOBI 1.0 8V EVO FLEX WAY MANUAL,KM 41873,2016/2017,"R$ 54.900,00"
VOLKSWAGEN NIVUS 1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO,KM 36900,2021/2021,"R$ 111.900,00"
VOLKSWAGEN AMAROK 3.0 V6 TDI DIESEL HIGHLINE EXTREME CD 4MOTION AUTOMÁTICO,KM 28776,2021/2021,"R$ 309.900,00"
VOLKSWAGEN AMAROK 3.0 V6 TDI DIESEL HIGHLINE EXTREME CD 4MOTION AUTOMÁTICO,KM 32712,2020/2020,"R$ 259.900,00"
CHEVROLET TRACKER 1.4 16V TURBO FLEX PREMIER AUTOMÁTICO,KM 79792,2018/2018,"R$ 99.900,00"
VOLKSWAGEN AMAROK 3.0 V6 TDI DIESEL HIGHLINE EXTREME CD 4MOTION AUTOMÁTICO,KM 59900,2021/2021,"R$ 295.900,00"
VOLKSWAGEN GOL 1.0 12V MPI TOTALFLEX 4P MANUAL,KM 60573,2020/2021,"R$ 59.900,00"
VOLKSWAGEN VIRTUS 1.6 MSI TOTAL FLEX AUTOMÁTICO,KM 101000,2018/2019,"R$ 79.900,00"
VOLKSWAGEN TAOS 1.4 250 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO,KM 25000,2021/2022,"R$ 199.900,00"
VOLKSWAGEN AMAROK 2.0 TRENDLINE 4X4 CD 16V TURBO INTERCOOLER DIESEL 4P AUTOMÁTICO,KM 102014,2017/2017,"R$ 144.900,00"
FIAT CRONOS 1.3 FIREFLY FLEX MANUAL,KM 69598,2018/2019,"R$ 72.900,00"
FIAT MOBI 1.0 EVO FLEX LIKE. MANUAL,KM 30910,2021/2021,"R$ 57.900,00"
HYUNDAI CRETA 1.6 16V FLEX ATTITUDE AUTOMÁTICO,KM 24100,2021/2021,"R$ 97.900,00"
VOLKSWAGEN VOYAGE 1.6 16V MSI TOTALFLEX 4P AUTOMÁTICO,KM 21600,2021/2022,"R$ 84.900,00"
VOLKSWAGEN GOLF 1.4 TSI HIGHLINE 16V TOTAL FLEX 4P TIPTRONIC,KM 97592,2015/2016,"R$ 105.900,00"
FORD TERRITORY 1.5 ECOBOOST GTDI GASOLINA TITANIUM AUTOMÁTICO,KM 43288,2020/2021,"R$ 189.900,00"
RENAULT KWID 1.0 12V SCE FLEX ZEN MANUAL,KM 42169,2021/2022,"R$ 62.900,00"
BMW 320i 2.0 SPORT 16V TURBO ACTIVE FLEX 4P AUTOMÁTICO,KM 63444,2017/2017,"R$ 149.900,00"
VOLKSWAGEN JETTA 2.0 TSI HIGHLINE 211CV GASOLINA 4P TIPTRONIC,KM 110703,2015/2015,"R$ 90.900,00"
VOLKSWAGEN FOX 1.6 MSI TOTAL FLEX CONNECT 4P MANUAL,KM 27783,2021/2022,"R$ 77.900,00"
VOLKSWAGEN UP 1.0 MPI TOTAL FLEX 4P MANUAL,KM 24067,2019/2020,"R$ 75.900,00"
FIAT TORO 2.0 16V TURBO DIESEL FREEDOM 4WD AT9,KM 27958,2020/2021,"R$ 161.900,00"
NISSAN KICKS 1.6 16V FLEXSTART SENSE XTRONIC,KM 25693,2021/2022,"R$ 115.900,00"
VOLKSWAGEN VIRTUS 1.0 200 TSI COMFORTLINE AUTOMÁTICO,KM 14830,2022/2022,"R$ 111.900,00"
CHEVROLET ONIX 1.4 MPFI ACTIV 8V FLEX 4P AUTOMÁTICO,KM 80629,2017/2018,"R$ 73.900,00"
FORD KA 1.0 SE 12V FLEX 4P MANUAL,KM 136113,2016/2017,"R$ 47.900,00"
TOYOTA YARIS 1.5 16V FLEX XS CONNECT MULTIDRIVE,KM 10144,2022/2023,"R$ 97.900,00"
FIAT TORO 1.8 16V EVO FLEX ENDURANCE AT6,KM 60000,2019/2020,"R$ 95.900,00"
NISSAN FRONTIER 2.5 SL 4X4 CD TURBO ELETRONIC DIESEL 4P AUTOMÁTICO,KM 214221,2013/2014,"R$ 110.900,00"
